file_path,file_name,buggy_line_no,file_last_modified,buggy_class_name,buggy_method_name,short_description,method_param_list,file_size,depth,indentation,number_of_classes,method_no_in_buggy_class,method_no_in_file,number_of_line_with_comment,buggy_method_starting_line,buggy_method_ending_line,buggy_method_length_with_comment,buggy_class_start_line_with_comment,buggy_class_end_line_with_comment,buggy_class_length_with_comment,buggy_method_type_id,buggy_method_param_number,buggy_method_start_line_without_comment,buggy_method_end_line_without_comment,buggy_class_start_line_without_comment,buggy_class_end_line_without_comment,buggy_method_length_without_comment,buggy_class_length_without_comment,buggy_file_length_without_comment,cwe_id,Average_Operation_Complexity,Weighted_Method_Complexity,Essential_Cyclomatic_Complexity,Design_Complexity,Cyclomatic_Complexity,Coupling_Between_Objects,Depth_Of_Inheritance_Tree,Lack_Of_Cohesion_Of_Methods,Number_Of_Children,Response_For_Class,Chidamber_Weighted_Method_Complexity,tp,label
java/org/owasp/benchmark/helpers/LDAPServer.java,LDAPServer.java,320,9/10/2019 11:30,org.owasp.benchmark.helpers.LDAPServer,main,Dead store to ldap in org.owasp.benchmark.helpers.LDAPServer.main(String[]),[String[] args],10230,5,8,1,8,8,324,319,322,3,28,324,296,0,1,27,29,1,30,2,29,30,563,1.62,13,1,1,1,3,1,2,0,72,13,1,0
java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore.java,297,9/7/2019 8:25,org.owasp.benchmark.score.BenchmarkScore,main,Redundant nullcheck of expectedResults; which is known to be non-null in org.owasp.benchmark.score.BenchmarkScore.main(String[]),[String[] args],59542,5,12,1,21,21,1424,138,399,261,98,1424,1326,0,1,28,210,1,273,182,272,273,476,9.9,208,1,43,45,44,1,2,0,217,208,1,0
java/org/owasp/benchmark/score/WriteTime.java,WriteTime.java,120,9/7/2019 8:25,org.owasp.benchmark.score.WriteFiles,getVersionNumber,Switch statement found in org.owasp.benchmark.score.WriteFiles.getVersionNumber(String) where one case falls through to the next case,[String toolName],10828,5,20,2,10,11,361,106,144,38,96,361,265,4,1,18,49,1,77,31,76,77,484,4.4,44,3,4,7,4,1,2,0,74,44,1,0
java/org/owasp/benchmark/score/WriteTime.java,WriteTime.java,314,9/7/2019 8:25,org.owasp.benchmark.score.WriteFiles,getToolTime,Dead store to results in org.owasp.benchmark.score.WriteFiles.getToolTime(String),[String toolName],10828,5,8,2,10,11,361,313,327,14,96,361,265,4,1,39,51,1,58,12,57,58,563,4.4,44,3,3,3,4,1,2,0,74,44,1,0
java/org/owasp/benchmark/score/parsers/AppScanDynamicReader.java,AppScanDynamicReader.java,147,9/7/2019 8:25,org.owasp.benchmark.score.parsers.AppScanDynamicReader,parseAppScanDynamicVulnerability,Dead store to confidence in org.owasp.benchmark.score.parsers.AppScanDynamicReader.parseAppScanDynamicVulnerability(Node; Map),[Node issue# Map<String# Integer> cweMap],8181,6,8,1,4,4,198,135,164,29,29,198,169,-1,2,8,32,1,36,24,35,36,563,2.25,9,3,3,4,5,2,1,0,27,9,1,0
java/org/owasp/benchmark/score/parsers/ArachniReader.java,ArachniReader.java,144,9/7/2019 8:25,org.owasp.benchmark.score.parsers.ArachniReader,parseArachniIssue,Dead store to conf in org.owasp.benchmark.score.parsers.ArachniReader.parseArachniIssue(Node),[Node flaw],6653,6,8,1,4,4,183,133,170,37,36,181,145,-1,1,10,38,1,42,28,41,42,563,2.25,9,2,5,5,5,2,1,0,37,9,1,0
java/org/owasp/benchmark/score/report/ScatterPlot.java,ScatterPlot.java,204,9/7/2019 8:25,org.owasp.benchmark.score.report.ScatterPlot,rotate,Integral division result cast to double or float in org.owasp.benchmark.score.report.ScatterPlot.rotate(Shape; int),[Shape shape# int angle],10075,6,8,1,12,12,228,200,209,9,35,228,193,-1,2,40,48,1,52,8,51,52,192,1,12,1,1,1,5,1,3,4,95,12,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,BenchmarkTest00001.java,69,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00001,doPost,File(...) reads a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],3488,5,10,1,2,2,94,46,92,46,30,94,64,0,2,10,42,2,43,32,41,43,22,3,6,4,6,7,1,3,2,0,27,6,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,BenchmarkTest00002.java,70,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00002,doPost,FileOutputStream(...) writes to a file whose location might be specified by user input,[HttpServletRequest request# HttpServletResponse response],3050,5,12,1,2,2,90,46,88,42,30,90,60,0,2,10,39,2,40,29,38,40,22,3,6,4,6,7,1,3,2,0,23,6,1,0
java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,BenchmarkTest00004.java,65,9/7/2019 8:25,org.owasp.benchmark.testcode.BenchmarkTest00004,doPost,The application mixes trusted and untrusted data in session attributes.,[HttpServletRequest request# HttpServletResponse response],2651,5,8,1,2,2,73,46,71,25,30,73,43,0,2,10,24,2,25,14,23,25,501,2.5,5,4,4,4,1,3,2,0,21,5,1,0
